2018-01-01#dan#1,1-7
2018-01-02#dan#1,8-16
2018-01-03#dan#1,17-21
2018-01-04#dan#2,1-8
2018-01-05#dan#2,9-13
2018-01-06#dan#2,14-19
2018-01-07#dan#2,20-23
2018-01-08#dan#2,24-30
2018-01-09#dan#2,31-39
2018-01-10#dan#2,40-45
2018-01-11#dan#2,46-49
2018-01-12#dan#3,1-7
2018-01-13#dan#3,8-12
2018-01-14#dan#3,13-18
2018-01-15#dan#3,19-25
2018-01-16#dan#3,26-30
2018-01-17#dan#3,31-33
2018-01-18#dan#4,1-6
2018-01-19#dan#4,7-11
2018-01-20#dan#4,12-15
2018-01-21#dan#4,16-19
2018-01-22#dan#4,20-24
2018-01-23#dan#4,25-29
2018-01-24#dan#4,30-34
2018-01-25#dan#5,1-8
2018-01-26#dan#5,9-12
2018-01-27#dan#5,13-17
2018-01-28#dan#5,18-23
2018-01-29#dan#5,24-31
2018-01-30#dan#6,1-4
2018-01-31#dan#6,5-9
2018-02-01#dan#6,10-14
2018-02-02#dan#6,15-18
2018-02-03#dan#6,19-24
2018-02-04#dan#6,25-28
2018-02-05#dan#12,1-3
2018-02-06#dan#12,4-7
2018-02-07#dan#12,8-13
2018-02-08#1sa#1,1-8
2018-02-09#1sa#1,9-18
2018-02-10#1sa#1,19-23
2018-02-11#1sa#1,24-28
2018-02-12#1sa#2,1-10
2018-02-13#1sa#2,11-17
2018-02-14#1sa#2,18-21
2018-02-15#1sa#2,22-26
2018-02-16#1sa#2,27-30
2018-02-17#1sa#2,31-36
2018-02-18#1sa#3,1-9
2018-02-19#1sa#3,10-14
2018-02-20#1sa#3,15-21
2018-02-21#1sa#4,1-11
2018-02-22#1sa#4,12-22
2018-02-23#1sa#5,1-6
2018-02-24#1sa#5,7-12
2018-02-25#1sa#6,1-9
2018-02-26#1sa#6,10-16
2018-02-27#1sa#6,17-21
2018-02-28#1sa#7,1-9
2018-03-01#1sa#7,10-17
2018-03-02#1sa#8,1-9
2018-03-03#1sa#8,10-22
2018-03-04#1sa#9,1-10
2018-03-05#1sa#9,11-19
2018-03-06#1sa#9,20-27
2018-03-07#1sa#10,1-9
2018-03-08#1sa#10,10-16
2018-03-09#1sa#10,17-23
2018-03-10#1sa#10,24-27
2018-03-11#1sa#11,1-7
2018-03-12#1sa#11,8-15
2018-03-13#1sa#12,1-7
2018-03-14#1sa#12,8-12
2018-03-15#1sa#12,13-19
2018-03-16#1sa#12,20-25
2018-03-17#1sa#13,1-6
2018-03-18#1sa#13,7-15
2018-03-19#1sa#13,16-23
2018-03-20#1sa#14,1-6
2018-03-21#1sa#14,7-12
2018-03-22#1sa#14,13-16
2018-03-23#1sa#14,17-23
2018-03-24#1sa#14,24-30
2018-03-25#1sa#14,31-37
2018-03-26#1sa#14,38-46
2018-03-27#1sa#14,47-52
2018-03-28#1sa#15,1-8
2018-03-29#1sa#15,9-15
2018-03-30#1sa#15,16-22
2018-03-31#1sa#15,23-29
2018-04-01#1sa#15,30-35
2018-04-02#1sa#16,1-5
2018-04-03#1sa#16,6-13
2018-04-04#1sa#16,14-20
2018-04-05#1sa#16,21-23
2018-04-06#1sa#17,1-9
2018-04-07#1sa#17,10-16
2018-04-08#1sa#17,17-24
2018-04-09#1sa#17,25-32
2018-04-10#1sa#17,33-37
2018-04-11#1sa#17,38-47
2018-04-12#1sa#17,48-52
2018-04-13#1sa#17,53-58
2018-04-14#1sa#18,1-5
2018-04-15#1sa#18,6-16
2018-04-16#1sa#18,17-22
2018-04-17#1sa#18,23-30
2018-04-18#1sa#19,1-8
2018-04-19#1sa#19,9-18
2018-04-20#1sa#19,19-24
2018-04-21#1sa#20,1-9
2018-04-22#1sa#20,10-17
2018-04-23#1sa#20,18-24
2018-04-24#1sa#20,25-34
2018-04-25#1sa#20,35-43
2018-04-26#1sa#21,1-9
2018-04-27#1sa#21,10-15
2018-04-28#1sa#22,1-10
2018-04-29#1sa#22,11-17
2018-04-30#1sa#22,18-23
2018-05-01#1sa#23,1-5
2018-05-02#1sa#23,6-13
2018-05-03#1sa#23,14-18
2018-05-04#1sa#23,19-28
2018-05-05#1sa#24,1-7
2018-05-06#1sa#24,8-15
2018-05-07#1sa#24,16-22
2018-05-08#1sa#25,1-9
2018-05-09#1sa#25,10-17
2018-05-10#1sa#25,18-26
2018-05-11#1sa#25,27-35
2018-05-12#1sa#25,36-44
2018-05-13#1sa#26,1-9
2018-05-14#1sa#26,10-17
2018-05-15#1sa#26,18-25
2018-05-16#1sa#27,1-7
2018-05-17#1sa#27,8-12
2018-05-18#1sa#28,1-6
2018-05-19#1sa#28,7-14
2018-05-20#1sa#28,15-20
2018-05-21#1sa#28,21-25
2018-05-22#1sa#29,1-5
2018-05-23#1sa#29,6-11
2018-05-24#1sa#30,1-6
2018-05-25#1sa#30,7-15
2018-05-26#1sa#30,16-20
2018-05-27#1sa#30,21-25
2018-05-28#1sa#30,26-30
2018-05-29#1sa#31,1-6
2018-05-30#1sa#31,7-13
2018-05-31#2sa#1,1-10
2018-06-01#2sa#1,11-16
2018-06-02#2sa#1,17-27
2018-06-03#2sa#2,1-7
2018-06-04#2sa#2,8-17
2018-06-05#2sa#2,18-24
2018-06-06#2sa#2,25-32
2018-06-07#2sa#3,1-5
2018-06-08#2sa#3,6-11
2018-06-09#2sa#3,12-21
2018-06-10#2sa#3,22-30
2018-06-11#2sa#3,31-39
2018-06-12#2sa#4,1-8
2018-06-13#2sa#4,9-12
2018-06-14#2sa#5,1-5
2018-06-15#2sa#5,6-12
2018-06-16#2sa#5,13-21
2018-06-17#2sa#5,22-25
2018-06-18#2sa#6,1-5
2018-06-19#2sa#6,6-11
2018-06-20#2sa#6,12-19
2018-06-21#2sa#6,20-23
2018-06-22#2sa#7,1-7
2018-06-23#2sa#7,8-17
2018-06-24#2sa#7,18-22
2018-06-25#2sa#7,23-29
2018-06-26#2sa#8,1-8
2018-06-27#2sa#8,9-14
2018-06-28#2sa#8,15-18
2018-06-29#2sa#9,1-8
2018-06-30#2sa#9,9-13
2018-07-01#2sa#10,1-7
2018-07-02#2sa#10,8-14
2018-07-03#2sa#10,15-19
2018-07-04#2sa#11,1-9
2018-07-05#2sa#11,10-13
2018-07-06#2sa#11,14-22
2018-07-07#2sa#11,23-27
2018-07-08#2sa#12,1-10
2018-07-09#2sa#12,11-17
2018-07-10#2sa#12,18-25
2018-07-11#2sa#12,26-31
2018-07-12#2sa#13,1-8
2018-07-13#2sa#13,9-16
2018-07-14#2sa#13,17-22
2018-07-15#2sa#13,23-33
2018-07-16#2sa#13,34-39
2018-07-17#2sa#14,1-8
2018-07-18#2sa#14,9-17
2018-07-19#2sa#14,18-22
2018-07-20#2sa#14,23-27
